slug,n,amazon,hulu,crankin,wowow,tsutaya,abema
pirates-of-the-caribbean-dead-men-tell-no-tales-2017,7,1,1,1,1,1,1
terminator-2-judgment-day-1991,8,1,1,1,1,1,1
baby-driver-2017,9,1,1,1,1,1,1
wonder-woman-2017,10,1,1,1,1,1,1
the-lies-she-loved-2018,11,1,1,1,1,1,1
kingsman-the-golden-circle-2017,12,1,1,1,1,1,1
anyone-but-you-2023,20,1,1,1,1,1,1
uzumoreru,82,1,1,1,1,1,1
sute-gataki-hitobito,83,1,1,1,1,1,1
never-been-kissed-1999,84,1,1,1,1,1,1
bread-of-happiness-2012,85,1,1,1,1,1,1
samurai-commando-mission-1549-2005,86,1,1,1,1,1,1
miss-you-already-2015,87,1,1,1,1,1,1
bridget-jones-s-diary-2001,88,1,1,1,1,1,1
lupin-iii-2014,91,1,1,1,1,1,1
keanu-2016,92,1,1,1,1,1,1
the-producers-2005,93,1,1,1,1,1,1
kuhio-taisa-2009,94,1,1,1,1,1,1
the-king-s-speech-2010,95,1,1,1,1,1,1
five-minutes-to-tomorrow-2014,96,1,1,1,1,1,1
her-love-boils-bathwater-2016,99,1,1,1,1,1,1
almost-famous-2000,101,1,1,1,1,1,1
tsubaki-sanjuro,102,1,1,1,1,1,1
love-and-peace-2015,103,1,1,1,1,1,1
meikyu-cafe-2015,105,1,1,1,1,1,1
serafuku-to-kikan-ju-sotsugyo,106,1,1,1,1,1,1
passengers-2008,107,1,1,1,1,1,1
furiko-2012,108,1,1,1,1,1,1
kiyosu-kaigi,109,1,1,1,1,1,1
second-virgin-2011,112,1,1,1,1,1,1
norwegian-wood-2010,113,1,1,1,1,1,1
welcome-to-the-quiet-room-2007,114,1,1,1,1,1,1
midsummer-s-equation-2013,115,1,1,1,1,1,1
yoake-no-machi-de-2011,116,1,1,1,1,1,1
sex-is-no-laughing-matter-2008,117,1,1,1,1,1,1
it-s-on-me-2009,119,1,1,1,1,1,1
ex-machina-2015,120,1,1,1,1,1,1
monsterz-2014,121,1,1,1,1,1,1
constantine-2005,122,1,1,1,1,1,1
kami-no-shita-o-motsu-otoko-hozuki-desurodo-hen,123,1,1,1,1,1,1
i-am-a-hero-hajimari-no-hi,2731,1,1,1,1,1,1
song-to-the-sun-2006,124,1,1,1,1,1,1
rock-of-ages-2012,125,1,1,1,1,1,1
dragon-head-2003,126,1,1,1,1,1,1
mutant-girls-squad-2010,127,1,1,1,1,1,1
sekai-ni-hitotsu-no-pureibukku,129,1,1,1,1,1,1
tengoku-kara-no-yell-2011,131,1,1,1,1,1,1
riri-no-subete,2732,1,1,1,1,1,1
the-terminal-2004,133,1,1,1,1,1,1
kingsman-the-secret-service-2014,134,1,1,1,1,1,1
somebody-2016,136,1,1,1,1,1,1
kick-ass-2010,138,1,1,1,1,1,1
kick-ass-2-2013,139,1,1,1,1,1,1
waruzu-endo-yopparai-ga-sekai-o-sukuu,140,1,1,1,1,1,1
buffalo-66-1998,142,1,1,1,1,1,1
i-am-a-hero-2015,143,1,1,1,1,1,1
ore-monogatari,144,1,1,1,1,1,1
hero-mania-life-2016,145,1,1,1,1,1,1
